taxonomy,layer,norm_f1_mean,norm_f1_lower,norm_f1_upper
ekman_basic_emotions,0,6.283114362066756e-05,-0.0001567924760848936,0.0003802224801088498
ekman_basic_emotions,1,0.10714447659770494,0.07852946329166802,0.14692613467165447
ekman_basic_emotions,2,0.08661363699247447,0.07666459181320268,0.09780456315626063
ekman_basic_emotions,3,0.0979012167218252,0.08575442232716324,0.135826813916573
ekman_basic_emotions,4,0.11295174563917967,0.08680005894409291,0.14925835638203191
ekman_basic_emotions,5,0.1082965609479334,0.08777918515097045,0.15249474019533246
ekman_basic_emotions,6,0.11583871196271073,0.09573890893082813,0.16208218334313707
ekman_basic_emotions,7,0.12545101596643585,0.09003622352021283,0.20912257771973788
ekman_basic_emotions,8,0.14392526065329006,0.10440380203714231,0.2324861974026612
ekman_basic_emotions,9,0.14048623443691202,0.10093258786401296,0.23095005903970056
ekman_basic_emotions,10,0.138617079399618,0.09906921566407387,0.22819503714673794
ekman_basic_emotions,11,0.1527134708929999,0.10979450279651133,0.24400849482019227
ekman_basic_emotions,12,0.126215519627753,0.08396827331367478,0.2170039990001594
ekman_basic_emotions,13,0.13724520111590877,0.09773291167892738,0.22755215028828168
ekman_basic_emotions,14,0.13117726624598028,0.09439458609113723,0.2180179848402247
ekman_basic_emotions,15,0.13798428473638055,0.10480113878811248,0.18485249680302684
ekman_basic_emotions,16,0.14834656602067356,0.11148198559672175,0.22920872640151582
ekman_basic_emotions,17,0.16806357212559814,0.12854114470697267,0.25789973234842256
ekman_basic_emotions,18,0.1495862393367283,0.11130981164866002,0.2283033624126738
ekman_basic_emotions,19,0.17047114889327014,0.13321235035953888,0.22023660313342436
ekman_basic_emotions,20,0.15069780024883028,0.11416900807614014,0.20921635997028637
ekman_basic_emotions,21,0.1767309493311236,0.13539878662735774,0.2739691011015016
ekman_basic_emotions,22,0.17760957388896517,0.1370416467397953,0.27180424928412333
ekman_basic_emotions,23,0.18519512934059934,0.14252432145701502,0.28110726661628727
ekman_basic_emotions,24,0.19058666088483764,0.1487374919801734,0.26996116416016014
ekman_basic_emotions,25,0.21684070305801342,0.16607550041182204,0.3265861993061353
ekman_basic_emotions,26,0.21500266973871468,0.169388169417661,0.32041149658403145
ekman_basic_emotions,27,0.2062513443726415,0.15966851166451432,0.3164301434609902
ekman_basic_emotions,28,0.21575545290075887,0.16578108162822555,0.3278799298590726
ekman_basic_emotions,29,0.22345671157806873,0.1716752743965004,0.3393381616414808
ekman_basic_emotions,30,0.19403064809876142,0.14598502442776906,0.27725001376662867
ekman_basic_emotions,31,0.23055472646450068,0.18373378834631157,0.3276237388566316
ekman_basic_emotions,32,0.23381593114146795,0.18366978541887832,0.3503418422784915
ekman_basic_emotions,33,0.2474636775630047,0.19831425848703957,0.3638147279741003
ekman_basic_emotions,34,0.23846231558866976,0.19098401454089192,0.3511119004744708
ekman_basic_emotions,35,0.25029544495834355,0.2022670635312362,0.3267854760156512
ekman_basic_emotions,36,0.26274114813779387,0.2164622210250209,0.32579082036979773
ekman_basic_emotions,37,0.235768082529255,0.18795613206559378,0.30929308517475707
ekman_basic_emotions,38,0.24461156085969266,0.1977665297694117,0.3093976661389792
ekman_basic_emotions,39,0.2165366260640012,0.16873546571535036,0.2877778325761048
ekman_basic_emotions,40,0.25468713551533817,0.20232307748694178,0.3748838999929163
ekman_basic_emotions,41,0.2412339829711496,0.19309106664099915,0.30649864973179586
ekman_basic_emotions,42,0.24473558976219037,0.19873091972720772,0.30888696955619416
ekman_basic_emotions,43,0.23908501749552447,0.1922913525828335,0.33340125656778924
ekman_basic_emotions,44,0.2415896115450135,0.19276987981526555,0.3582948858985871
ekman_basic_emotions,45,0.24530820670351158,0.19663269339427472,0.3588582091003545
ekman_basic_emotions,46,0.2535960238088513,0.20685214153550996,0.3576607366559849
ekman_basic_emotions,47,0.24401358710532658,0.1959391405339911,0.32814989173135883
go_emotions,0,0.0002692781564711035,-0.00038242592740126525,0.0009943836176330477
go_emotions,1,0.06584053530691852,0.052092888582408535,0.08169701566008802
go_emotions,2,0.05678611706139027,0.048437903108936156,0.0656904294140208
go_emotions,3,0.07193811836735217,0.061970500959466344,0.0828804527671426
go_emotions,4,0.08074222519700086,0.06660989048899636,0.09618525430598354
go_emotions,5,0.06881107606949922,0.059147761051890166,0.07968719725111832
go_emotions,6,0.0857688302758209,0.07253228996622381,0.10051403881162664
go_emotions,7,0.0880060457205017,0.07432465559378185,0.10318511933944549
go_emotions,8,0.0901383852317564,0.07684763082315607,0.10451803518761965
go_emotions,9,0.08027597679228884,0.06742930885384359,0.0947498447405175
go_emotions,10,0.09809300128421479,0.07968865160786445,0.11972824140744905
go_emotions,11,0.10292375478625357,0.0796345294860671,0.12688278078528545
go_emotions,12,0.0982835309786658,0.07790267802312667,0.12116900791960036
go_emotions,13,0.085307435874255,0.06863200263914955,0.10432186429016597
go_emotions,14,0.10662065768120225,0.08404445746389097,0.1304001585541032
go_emotions,15,0.11153168170170455,0.08955530114739617,0.1365698865506006
go_emotions,16,0.12701248216483477,0.10155393656727507,0.15410164758587447
go_emotions,17,0.09781385551013178,0.08060874467453483,0.11689186154484567
go_emotions,18,0.11388884642457862,0.09309732769166033,0.1370400044963922
go_emotions,19,0.11638987246436097,0.09408309482040096,0.1413715524006258
go_emotions,20,0.1133115719109685,0.09376824076098704,0.1360746189262135
go_emotions,21,0.12174016562156284,0.10186213269141478,0.1443190718022401
go_emotions,22,0.12261312216922707,0.09879685646564403,0.1500908478101685
go_emotions,23,0.13574013416390665,0.09946569532921817,0.17068179448223345
go_emotions,24,0.14178290461328774,0.11602106185131528,0.16966433016897853
go_emotions,25,0.16817090587238387,0.1404201565082578,0.19833732053444206
go_emotions,26,0.1400233825994314,0.11842214654231867,0.16327591632171062
go_emotions,27,0.14542038782162023,0.12119774557663147,0.17356988454292122
go_emotions,28,0.16061538673812736,0.1342405166359796,0.18887499003248787
go_emotions,29,0.17215063457207566,0.1341564582645572,0.20971238829453434
go_emotions,30,0.18464662194119352,0.14739665788399386,0.21488122294727957
go_emotions,31,0.22913421164930847,0.18401080482124246,0.27007522674081164
go_emotions,32,0.20294884627211007,0.171953658878149,0.23739371724747024
go_emotions,33,0.2060783459229855,0.16444240599035986,0.24710965320859188
go_emotions,34,0.19288312393456755,0.16384329103264608,0.22568242955484222
go_emotions,35,0.1999715540218674,0.16938710693695272,0.23281306218748674
go_emotions,36,0.21422354884308561,0.1722396919864898,0.25622238351378673
go_emotions,37,0.21644826535945613,0.17302061889257658,0.25525116765780853
go_emotions,38,0.19506231611504696,0.1683973123746799,0.2239706260527904
go_emotions,39,0.23074692902409938,0.18718275926701264,0.2707264074008324
go_emotions,40,0.23168554870346944,0.18666222089310117,0.27454078291269174
go_emotions,41,0.22815041970239286,0.1842555585620731,0.26677751712711034
go_emotions,42,0.19850793183840662,0.16805404421240847,0.23164490140563182
go_emotions,43,0.1895091445184269,0.1619095558215157,0.2195598933757784
go_emotions,44,0.1843639934275348,0.15395398123262244,0.2161118127675995
go_emotions,45,0.22258986685120108,0.17790057202637974,0.2616365331218242
go_emotions,46,0.2134156403025324,0.17003711376620595,0.25145941616422796
go_emotions,47,0.1951208553578085,0.16712002816825455,0.22750621449158767
plutchik_wheel,0,-7.801263844147695e-07,-0.0001344613184953584,0.0002014811964750811
plutchik_wheel,1,0.1457221816924707,0.11830454648378898,0.20107456771482923
plutchik_wheel,2,0.13166776326053065,0.11713787193862138,0.14653035835832523
plutchik_wheel,3,0.1442712011153978,0.13013012551576358,0.15933755958742704
plutchik_wheel,4,0.15956775889824015,0.13901546805992435,0.2065538347124236
plutchik_wheel,5,0.16615265184056105,0.1397194605208843,0.2212584663635857
plutchik_wheel,6,0.1814910354396445,0.15320998112636863,0.24034338156295101
plutchik_wheel,7,0.16952050204085983,0.14662468506962048,0.22338204604711265
plutchik_wheel,8,0.16647086478006035,0.1427550697061111,0.21639918880060177
plutchik_wheel,9,0.1810497950928505,0.14950020740489173,0.2416172167209726
plutchik_wheel,10,0.16262799316379523,0.13367217084844818,0.2202095848268408
plutchik_wheel,11,0.17065248981764355,0.13916054819120746,0.23117993307189838
plutchik_wheel,12,0.18103991374128364,0.14811613486472894,0.24360723285295247
plutchik_wheel,13,0.15128551380171523,0.12354568117890388,0.20879787109435222
plutchik_wheel,14,0.18458191113988218,0.14963485210282926,0.2498707413270281
plutchik_wheel,15,0.16953781499918413,0.14250068449524278,0.22699924035623717
plutchik_wheel,16,0.1947569191425614,0.1576851706209891,0.26228312151587374
plutchik_wheel,17,0.19896556040542587,0.16587984692112007,0.26430904115636006
plutchik_wheel,18,0.21326829242931458,0.17693554734152558,0.2702012166324138
plutchik_wheel,19,0.22132783461994013,0.1838490736172761,0.29049220938495857
plutchik_wheel,20,0.20946485705560425,0.17336917778761024,0.27616321329356996
plutchik_wheel,21,0.19662808975130072,0.16540555882205665,0.2607795873797315
plutchik_wheel,22,0.2176468664705885,0.17992470805604693,0.28657022386039177
plutchik_wheel,23,0.22622086927445298,0.19047616564744882,0.2974939616966985
plutchik_wheel,24,0.22638243130591618,0.1932343369024574,0.29423937937270167
plutchik_wheel,25,0.2344499476365151,0.19925699758859733,0.3070116227235806
plutchik_wheel,26,0.2531171070060834,0.2123467074956502,0.33107584018378927
plutchik_wheel,27,0.23920792713866634,0.20727568820146167,0.30255948901715624
plutchik_wheel,28,0.24947630389468514,0.2137503046417061,0.31642578540041866
plutchik_wheel,29,0.25335911840786224,0.2148021671348933,0.3234642054524853
plutchik_wheel,30,0.2707299894787344,0.23671686585853804,0.3094796423947933
plutchik_wheel,31,0.28991772662056703,0.25409714436320796,0.33127819789448115
plutchik_wheel,32,0.29011988503320835,0.2526131868916264,0.3351321123471925
plutchik_wheel,33,0.31402328803374724,0.2730798242743998,0.39140463243304213
plutchik_wheel,34,0.32089151411939054,0.27496302696872704,0.4086873442710533
plutchik_wheel,35,0.2677050948439024,0.23215404680548168,0.3027810893419529
plutchik_wheel,36,0.27511741730698225,0.23944296901923237,0.31599152124855806
plutchik_wheel,37,0.2822611816262412,0.24580351799563507,0.35488249147189255
plutchik_wheel,38,0.2864602861859163,0.2443087480786901,0.3690969086452511
plutchik_wheel,39,0.31128435254123304,0.2662299764401443,0.39699647543686517
plutchik_wheel,40,0.2734673847501766,0.23872257334853186,0.3415425131567879
plutchik_wheel,41,0.2841358063655897,0.24361930637296378,0.3651679669631436
plutchik_wheel,42,0.2903239878994425,0.24911101667015292,0.37189883456284156
plutchik_wheel,43,0.2944966082328654,0.255354513638393,0.365780839250371
plutchik_wheel,44,0.28815534884848837,0.24682080988669142,0.3716743188236804
plutchik_wheel,45,0.28870463040839267,0.24443961824357946,0.37642504333203675
plutchik_wheel,46,0.28484926713026554,0.2412580057669984,0.36989958699247016
plutchik_wheel,47,0.32191798117090586,0.27775841205520935,0.40922291874674616
